AuditID,Direction,CanonicalEventDate,TargetOrEvent,V1Status,V3Status,TraceStatus,ReferenceOrReason,ClosureEffect
SD-001,V1_NOT_IN_V3,2025-01-29,Andreapol oil pumping station,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-002,V1_NOT_IN_V3,2025-02-03,Volgograd oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-003,V1_NOT_IN_V3,2025-02-19,Syzran oil refinery,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary states early-Q1 Syzran was not confirmed; Reuters chronology resolves to 4-Mar targeting without independently established qualifying effect",CLEARED
SD-004,V1_NOT_IN_V3,2025-05-05,Rylsk electricity substation,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-005,V1_NOT_IN_V3,2025-08-10,Saratov oil refinery,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary explicitly downgrades Saratov 10-Aug to provisional because reviewed Reuters evidence principally relayed Ukrainian claims",CLEARED
SD-006,V1_NOT_IN_V3,2025-09-16,Saratov oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-007,V1_NOT_IN_V3,2025-09-20,Samara-region refinery/processing event,NEW_CONFIRMED,RESOLVED_AS_NOVOKUIBYSHEVSK,PARTIAL_TRACE,"Later resolution merges R25R-0056 and R25R-0098 as one Novokuibyshevsk 20-Sep event now present in V3; exact V1 +44 source-component to reconciliation-row mapping remains undocumented",BLOCKS_PROVENANCE_MAPPING
SD-008,V1_NOT_IN_V3,2025-09-20,Saratov oil refinery,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary explicitly downgrades Saratov/Samara 20-Sep claim-based records lacking sufficient independent target-effect confirmation; distinct Novokuibyshevsk resolution handled separately",CLEARED
SD-009,V1_NOT_IN_V3,2025-09-26,Afipsky oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-010,V1_NOT_IN_V3,2025-10-13,Kirishi oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; V3 instead contains Kirishi 4-Oct; no explicit disposition of the 13-Oct V1 event located",BLOCKS_REVIEW_CLOSURE
SD-011,V1_NOT_IN_V3,2025-11-15,Novokuibyshevsk oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-012,V1_NOT_IN_V3,2025-11-29,Afipsky oil refinery,NEW_CONFIRMED,ABSENT,MATCH_VIINA,"V2 summary explicitly lists Afipsky 29-Nov among known VIINA overlaps excluded from Reuters increment",CLEARED
SD-013,V1_NOT_IN_V3,2025-11-29,CPC Black Sea terminal SPM-2,NEW_CONFIRMED,ABSENT,MATCH_VIINA,"V2 summary explicitly lists CPC SPM-2 29-Nov among known VIINA overlaps excluded from Reuters increment",CLEARED
SD-014,V1_NOT_IN_V3,2025-12-04,Druzhba pumping infrastructure Tambov region,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; node was described as distinct unless later reconciled; no explicit final disposition located",BLOCKS_REVIEW_CLOSURE
SD-015,V1_NOT_IN_V3,2025-12-25,Novoshakhtinsk oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-016,V1_NOT_IN_V3,2025-12-25,Temryuk port oil-storage terminal,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary explicitly states Temryuk 25-Dec is provisional because reviewed Reuters article relies on SBU target-effect reporting without independent confirmation",CLEARED
SD-017,V3_NOT_IN_V1_PLUS44,2025-07-04,Sergiyev Posad electricity substation,ABSENT_FROM_V1_PLUS44,CONFIRMED,SOURCE_RECORD_MAPPING_REQUIRED,"V2/V3 include event, but no corresponding R25R row was located in reconciliation V1; frozen-protocol 2025 Reuters source record must be linked",BLOCKS_PROVENANCE_MAPPING
SD-018,V3_NOT_IN_V1_PLUS44,2025-08-28,Afipsky oil refinery,NEW_PROVISIONAL_R25R-0046,CONFIRMED,TRACEABLE,"V2 summary states Afipsky 28-Aug included because physical effect supported by regional/industry/Reuters evidence",CLEARED
SD-019,V3_NOT_IN_V1_PLUS44,2025-08-28,Kuibyshev refinery,NEW_PROVISIONAL_R25R-0047,CONFIRMED,TRACEABLE,"V2 strict register promotes the 28-Aug Kuibyshev event on Reuters industry-source operational-halt evidence",CLEARED
SD-020,V3_NOT_IN_V1_PLUS44,2025-08-30,Krasnodar refinery,NO_EXACT_R25R_ROW_LOCATED,CONFIRMED,SOURCE_RECORD_MAPPING_REQUIRED,"V2/V3 include event, but reconciliation V1 has no exact 30-Aug Krasnodar refinery row; source-component provenance must be linked",BLOCKS_PROVENANCE_MAPPING
SD-021,V3_NOT_IN_V1_PLUS44,2025-10-04,Kirishi oil refinery,NO_EXACT_R25R_ROW_LOCATED,CONFIRMED,SOURCE_RECORD_MAPPING_REQUIRED,"V2/V3 include 4-Oct Kirishi; reconciliation V1 contains 13-Oct and 14-Sep Kirishi but no 4-Oct row",BLOCKS_PROVENANCE_MAPPING
SD-022,V3_NOT_IN_V1_PLUS44,2025-12-12,Slavneft-YANOS Yaroslavl refinery,NO_EXACT_R25R_ROW_LOCATED,CONFIRMED,SOURCE_RECORD_MAPPING_REQUIRED,"V2/V3 include YANOS 12-Dec but no corresponding R25R row was located in reconciliation V1",BLOCKS_PROVENANCE_MAPPING
